,Job Title,Job Description,Job Salary,Job Company,Job Link,Job Type
0,Desarrollador Qt/C++,Programación de sistemas con o sin interfaz para aplicaciones de visión inteligente. Integración de API's o SDK propietarios o de terceros.,"$25,000 - $30,000 al mes",Kanan Smart Solution,/pagead/clk?mo=r&ad=-6NYlbfkN0AgCrzCjekEMV6aKBpyGH9lZudvjz1tM-S0dZNWiV9GxQsul1w4z7D--QTEJilKaO2XciOTm-fD8mQYH7ugnFY7sYBgUQJ5pwQxyzEHpKaxvgwGnSta1URquB--PCf83yUGVQpa-H0c_ufKvAl9da4Tzc2yJZIOuHz5OdhR2cO1HoinsRSTFOgZ88fi08M9M-bj0Sdvayshpm3ePL0EHuFBw9vcvFuzZBbbbtiAlW_zxJBOaO7hu66JnXqhONE2dsueHefMZIahNwiZ4aQqr92VC336iSsi901PxB9f2gOlvrgYKMlxU1k2mAKLJs5lbyccBSpwUnzc2XcGvrmPBGWwhEbotoPTzxDRnS64yszBoF9nNwNCT5a1XFxXVjnnLHm92K_AwyUc1fFR_Swr7Kk-EOZe49kMeymUjWJDXdyQEw==&p=1&fvj=1&vjs=3,python
1,Analista de Calidad de Datos,"ANALISTA DE CALIDAD DE DATOS*. Ejecutar las auditorías internas del servicio de campo y Data Science para el servicio de Medios para México y Global, con el fin…","$17,000 - $20,000 al mes",Nielsen,/company/Nielsen/jobs/Analista-calidad-datos-1c1bdc166a76dfdb?fccid=683f563b5cc25b70&vjs=3,python
2,Becario en Ingeniería,"Programación en Python, R, Java o C#. Indispensable estar estudiando que falte un año para terminar *. Disponibilidad de 8:30 am a 2:00 pm.","$7,000 - $8,000 al mes",AT&T México SA de CV,/company/AT&T-M%C3%A9xico-SA-de-CV/jobs/Becario-ingenier%C3%ADa-d44eaf87ea7b4e1a?fccid=36433a1353bc73dc&vjs=3,python
3,ANALISTA DE DATOS,"Qlik, R, Stata, Python, SAS, SQL, etc.). Intermendio Qlik, R, Stata, Python, SAS, SQL, (Requisito mínimo). Realizar profundos análisis de datos para los bancos…","$25,000 - $30,000 al mes",Customer Intelligence,/company/Customer-Intelligence/jobs/Analista-datos-f3ee24953cbbfd67?fccid=9b761806e2c9d779&vjs=3,python
4,AUDITORES TI,"Diseño y desarrollo de sofware (jave, C++, Python). Diseño y desarrollo de sofware (jave, C++, Python): \*Diseñar procesos de auditoria para la autorización a…","$20,000 - $22,600 al mes",GNP SEGUROS,/company/S.AB/jobs/Auditores-ti-da9e6ae071fe5d28?fccid=f129d4af44ab30ed&vjs=3,python
5,Desarrollador Backend,"Estas en busca de seguir desarrollándote como desarrollador web, esta es tu oportunidad, ingresar con nosotros y aprende de nuestro equipo de trabajo con mas de…","$15,000 - $20,000 al mes",e-Bitware,/company/e--Bitware/jobs/Desarrollador-backend-47af0407466bb619?fccid=8cbc066076207470&vjs=3,python
6,Desarrollador Qt/C++,Programación de sistemas con o sin interfaz para aplicaciones de visión inteligente. Integración de API's o SDK propietarios o de terceros.,"$25,000 - $30,000 al mes",Kanan Smart Solution,/pagead/clk?mo=r&ad=-6NYlbfkN0AgCrzCjekEMV6aKBpyGH9lZudvjz1tM-S0dZNWiV9GxQsul1w4z7D--QTEJilKaO2XciOTm-fD8mQYH7ugnFY7sYBgUQJ5pwQxyzEHpKaxvgwGnSta1URquB--PCf83yUGVQpa-H0c_ufKvAl9da4Tzc2yJZIOuHxZsH4paYmewjtvpj1DLqm5aTL7ax6z7GAIYxSgP-1ZEWOcaqZHUUMcktitNP7AollF7N_9oorhvNSuvRYx5eg9hR89vCcRnAyY2RlVJL1bhKXiuQGabtesZF6B5kzUocA6TS8odNy6h45a6StC5m9Ll70EhYSws-zsrtSEcwBD7DGFlCGnHX5c45LyD_g7ziGiJP6kzuOkKeik4ENY4Jmy5tWzc677MeAMkngLvFTDyKBThCkH4MjzPVZUXh3BvHBWdJb072u9lQ==&p=0&fvj=1&vjs=3,python
7,DESARROLLADOR WEB,"Estas en busca de seguir desarrollándote como desarrollador web, esta es tu oportunidad, ingresar con nosotros y aprende de nuestro equipo de trabajo con mas de…","$15,000 - $20,000 al mes",e-Bitware,/company/e--Bitware/jobs/Desarrollador-web-fd44d8febb7876e2?fccid=8cbc066076207470&vjs=3,python
8,Desarrollador Hadoop,Estamos en búsqueda de un desarrollador hadoop que cuente con estas tecnologías. Hadoop - HIve - Impala - Sqoop - Yarn - Linux - Shells - Base de datos -…,"$40,000 al mes",Axkan Soluciones S.A. de C.V.,/company/Axkan-Soluciones-SA-DE-CV/jobs/Desarrollador-hadoop-4b6d5cf55d0e5b35?fccid=7ca3452c1186db73&vjs=3,python
9,Data Scientist Jr.,Resuelve está cambiando la cara de la industria financiera en América Latina y España. Somos un grupo de personas enfocado en mejorar la vida de nuestros…,"$15,000 - $25,000 al año",Resuelve,/rc/clk?jk=d7e0224b602a6fc2&fccid=8d49d15aa8d06367&vjs=3,python
10,DEVOPS,Opcional conocimiento en Java ó python. Únete a nuestro equipo de trabajo como DEVOPS (PE). Conocimientos sólidos en el las herramientas ALM interno.,"$50,000 al mes",AFIRMA Solutions,/company/AFIRMA-Solutions/jobs/Devops-e7dc50a393b58a6b?fccid=1607701d163e4abf&vjs=3,python
